disp,score,date,days,gameid,month,notes
SAM,44,7/17/2024,207,0717241,2024-07,
SAR,130,7/17/2024,207,0717241,2024-07,
SAM,90,7/17/2024,207,0717242,2024-07,
SAR,115,7/17/2024,207,0717242,2024-07,
GRA,119,7/18/2024,206,0718241,2024-07,
SAR,124,7/18/2024,206,0718241,2024-07,
GRA,105,7/18/2024,206,0718242,2024-07,
SAR,149,7/18/2024,206,0718242,2024-07,
GRA,151,7/19/2024,205,071924,2024-07,
SAR,131,7/19/2024,205,071924,2024-07,
TRE,89,7/19/2024,205,071924,2024-07,
GRA,104,7/23/2024,201,072324,2024-07,
SAR,104,7/23/2024,201,072324,2024-07,
JUJ,51,7/25/2024,199,072524,2024-07,
SAR,146,7/25/2024,199,072524,2024-07,
AID,132,7/26/2024,198,072624,2024-07,
HUE,71,7/26/2024,198,072624,2024-07,
MAT,56,7/26/2024,198,072624,2024-07,
SAM,101,7/26/2024,198,072624,2024-07,
AID,131,7/28/2024,196,072824,2024-07,
AID,102,7/31/2024,193,073124,2024-07,
HUE,107,7/31/2024,193,073124,2024-07,
JUJ,104,7/31/2024,193,073124,2024-07,
PAP,116,7/31/2024,193,073124,2024-07,
SAR,106,7/31/2024,193,073124,2024-07,
TRE,89,7/31/2024,193,073124,2024-07,
GRA,116,8/7/2024,186,080724,2024-08,
HAN,34,8/7/2024,186,080724,2024-08,
SAR,134,8/7/2024,186,080724,2024-08,
AID,123,8/8/2024,185,0808241,2024-08,
AND,129,8/8/2024,185,0808241,2024-08,
GRA,120,8/8/2024,185,0808241,2024-08,
SAR,121,8/8/2024,185,0808241,2024-08,
GRA,116,8/8/2024,185,0808242,2024-08,
SAR,118,8/8/2024,185,0808242,2024-08,
AND,106,8/9/2024,184,0809241,2024-08,
SAR,104,8/9/2024,184,0809241,2024-08,
AND,83,8/9/2024,184,0809242,2024-08,
SAR,152,8/9/2024,184,0809242,2024-08,
GRA,98,8/11/2024,182,0811241,2024-08,
SAR,130,8/11/2024,182,0811241,2024-08,
AID,95,8/11/2024,182,0811242,2024-08,
AND,109,8/11/2024,182,0811242,2024-08,
DSU,103,8/11/2024,182,0811242,2024-08,
JSU,98,8/11/2024,182,0811242,2024-08,
AID,156,8/12/2024,181,0812241,2024-08,
AND,91,8/12/2024,181,0812241,2024-08,
PAP,78,8/12/2024,181,0812241,2024-08,
HAN,58,8/12/2024,181,0812242,2024-08,
JUJ,87,8/12/2024,181,0812242,2024-08,
SAR,131,8/12/2024,181,0812242,2024-08,
AID,162,8/12/2024,181,0812243,2024-08,
AND,137,8/12/2024,181,0812243,2024-08,
PAP,125,8/12/2024,181,0812243,2024-08,
HAN,65,8/12/2024,181,0812244,2024-08,
JUJ,123,8/12/2024,181,0812244,2024-08,
SAR,131,8/12/2024,181,0812244,2024-08,
HAN,69,8/19/2024,174,0819241,2024-08,
SAR,123,8/19/2024,174,0819241,2024-08,
SAR,142,8/19/2024,174,0819242,2024-08,
AID,112,8/20/2024,173,082024,2024-08,
GRA,77,8/20/2024,173,082024,2024-08,
HAN,62,8/20/2024,173,082024,2024-08,
SAR,116,8/20/2024,173,082024,2024-08,
CAT,84,8/21/2024,172,082124,2024-08,
SAR,119,8/21/2024,172,082124,2024-08,
COURT,92,8/27/2024,166,0827241,2024-08,
GRA,110,8/27/2024,166,0827241,2024-08,
HAN,55,8/27/2024,166,0827241,2024-08,
SAR,139,8/27/2024,166,0827241,2024-08,
YIN,71,8/27/2024,166,0827241,2024-08,
COURT,85,8/27/2024,166,0827242,2024-08,
GRA,76,8/27/2024,166,0827242,2024-08,
HAN,79,8/27/2024,166,0827242,2024-08,
SAR,106,8/27/2024,166,0827242,2024-08,
YIN,79,8/27/2024,166,0827242,2024-08,
GRA,92,8/28/2024,165,0828241,2024-08,
HAN,86,8/28/2024,165,0828241,2024-08,
SAR,111,8/28/2024,165,0828241,2024-08,
GRA,85,8/28/2024,165,0828242,2024-08,
